,seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
217,ethereum,fe,shlex,comex,rust-shlex,CARGO
218,ethereum,fe,hashlink,kyren,hashlink,CARGO
219,ethereum,fe,form_urlencoded,servo,rust-url,CARGO
220,ethereum,fe,url,servo,rust-url,CARGO
221,ethereum,fe,rustc-hex,debris,rustc-hex,CARGO
222,ethereum,fe,convert_case,rutrum,convert-case,CARGO
223,ethereum,fe,clap_builder,clap-rs,clap,CARGO
224,ethereum,fe,dyn-clone,dtolnay,dyn-clone,CARGO
225,ethereum,fe,countme,matklad,countme,CARGO
226,ethereum,fe,system-configuration,mullvad,system-configuration-rs,CARGO
227,ethereum,fe,futures-lite,smol-rs,futures-lite,CARGO
228,ethereum,fe,fastrand,smol-rs,fastrand,CARGO
229,ethereum,fe,alloy-rlp,alloy-rs,rlp,CARGO
230,ethereum,fe,object,gimli-rs,object,CARGO
231,ethereum,fe,idna_adapter,hsivonen,idna_adapter,CARGO
232,ethereum,fe,hyper,hyperium,hyper,CARGO
233,ethereum,fe,ctor,mmastrac,rust-ctor,CARGO
234,ethereum,fe,adler2,oyvindln,adler2,CARGO
235,ethereum,fe,console_error_panic_hook,rustwasm,console_error_panic_hook,CARGO
236,ethereum,fe,gloo-timers,rustwasm,gloo,CARGO
237,ethereum,fe,foreign-types-shared,sfackler,foreign-types,CARGO
238,ethereum,fe,security-framework-sys,kornelski,rust-security-framework,CARGO
239,ethereum,fe,windows_x86_64_msvc,microsoft,windows-rs,CARGO
240,ethereum,fe,windows_i686_gnullvm,microsoft,windows-rs,CARGO
241,ethereum,fe,unwrap-infallible,mzabaluev,unwrap-infallible,CARGO
242,ethereum,fe,rust-embed-utils,pyros2097,rust-embed,CARGO
243,ethereum,fe,memchr,burntsushi,memchr,CARGO
244,ethereum,fe,triehash,paritytech,parity-common,CARGO
245,ethereum,fe,primitive-types,paritytech,parity-common,CARGO
246,ethereum,fe,base16ct,rustcrypto,formats,CARGO
247,ethereum,fe,logos-codegen,maciejhirsz,logos,CARGO
248,ethereum,fe,plotters,plotters-rs,plotters,CARGO
249,ethereum,fe,rand,rust-random,rand,CARGO
250,ethereum,fe,num_cpus,seanmonstar,num_cpus,CARGO
251,ethereum,fe,want,seanmonstar,want,CARGO
252,ethereum,fe,icu_locid_transform,unicode-org,icu4x,CARGO
253,ethereum,fe,yoke-derive,unicode-org,icu4x,CARGO
254,ethereum,fe,icu_properties_data,unicode-org,icu4x,CARGO
255,ethereum,fe,ppv-lite86,cryptocorrosion,cryptocorrosion,CARGO
256,ethereum,fe,wasi,bytecodealliance,wasi,CARGO
257,ethereum,fe,ruint,recmo,uint,CARGO
258,ethereum,fe,derive_more,jeltef,derive_more,CARGO
259,ethereum,fe,cloudabi,nuxinl,cloudabi,CARGO
260,ethereum,fe,append-only-vec,droundy,append-only-vec,CARGO
261,ethereum,fe,enumn,dtolnay,enumn,CARGO
262,ethereum,fe,thiserror,dtolnay,thiserror,CARGO
263,ethereum,fe,id-arena,fitzgen,id-arena,CARGO
264,ethereum,fe,generic-array,fizyk20,generic-array,CARGO
265,ethereum,fe,async-global-executor,keruspe,async-global-executor,CARGO
266,ethereum,fe,piper,smol-rs,piper,CARGO
267,ethereum,fe,evm-runtime,sorpaas,rust-evm,CARGO
268,ethereum,fe,pin-project-lite,taiki-e,pin-project-lite,CARGO
269,ethereum,fe,tinytemplate,bheisler,tinytemplate,CARGO
270,ethereum,fe,criterion-plot,bheisler,criterion.rs,CARGO
271,ethereum,fe,write16,hsivonen,write16,CARGO
272,ethereum,fe,hyper-tls,hyperium,hyper-tls,CARGO
273,ethereum,fe,petgraph,petgraph,petgraph,CARGO
274,ethereum,fe,fixedbitset,petgraph,fixedbitset,CARGO
275,ethereum,fe,anstyle,rust-cli,anstyle,CARGO
276,ethereum,fe,js-sys,rustwasm,wasm-bindgen,CARGO
277,ethereum,fe,wasm-bindgen-shared,rustwasm,wasm-bindgen,CARGO
278,ethereum,fe,tracing,tokio-rs,tracing,CARGO
279,ethereum,fe,tower-service,tower-rs,tower,CARGO
280,ethereum,fe,ff,zkcrypto,ff,CARGO
281,ethereum,fe,revm,bluealloy,revm,CARGO
282,ethereum,fe,windows_i686_gnu,microsoft,windows-rs,CARGO
283,ethereum,fe,strsim,rapidfuzz,strsim-rs,CARGO
284,ethereum,fe,libz-sys,rust-lang,libz-sys,CARGO
285,ethereum,fe,futures-core,rust-lang,futures-rs,CARGO
286,ethereum,fe,log,rust-lang,log,CARGO
287,ethereum,fe,futures,rust-lang,futures-rs,CARGO
288,ethereum,fe,tempfile,stebalien,tempfile,CARGO
289,ethereum,fe,same-file,burntsushi,same-file,CARGO
290,ethereum,fe,byteorder,burntsushi,byteorder,CARGO
291,ethereum,fe,linked-hash-map,contain-rs,linked-hash-map,CARGO
292,ethereum,fe,uint,paritytech,parity-common,CARGO
293,ethereum,fe,zeroize,rustcrypto,utils,CARGO
294,ethereum,fe,crypto-bigint,rustcrypto,crypto-bigint,CARGO
295,ethereum,fe,ripemd,rustcrypto,hashes,CARGO
296,ethereum,fe,block-buffer,rustcrypto,utils,CARGO
297,ethereum,fe,logos,maciejhirsz,logos,CARGO
298,ethereum,fe,proptest,proptest-rs,proptest,CARGO
299,ethereum,fe,try-lock,seanmonstar,try-lock,CARGO
300,ethereum,fe,linux-raw-sys,sunfishcode,linux-raw-sys,CARGO
301,ethereum,fe,auto_impl,auto-impl-rs,auto_impl,CARGO
302,ethereum,fe,cfg_aliases,katharostech,cfg_aliases,CARGO
303,ethereum,fe,lazy_static,rust-lang-nursery,lazy-static.rs,CARGO
304,ethereum,fe,pin-utils,rust-lang-nursery,pin-utils,CARGO
305,ethereum,fe,futures-batch,mre,futures-batch,CARGO
306,ethereum,fe,dirs,soc,dirs-rs,CARGO
307,ethereum,fe,sharded-slab,hawkw,sharded-slab,CARGO
308,ethereum,fe,vcpkg,mcgoo,vcpkg-rs,CARGO
309,ethereum,fe,ruint-macro,recmo,uint,CARGO
310,ethereum,fe,zerocopy-derive,google,zerocopy,CARGO
311,ethereum,fe,ron,ron-rs,ron,CARGO
312,ethereum,fe,dot2,sanpii,dot2.rs,CARGO
313,ethereum,fe,paste,dtolnay,paste,CARGO
314,ethereum,fe,thiserror-impl,dtolnay,thiserror,CARGO
315,ethereum,fe,quote,dtolnay,quote,CARGO
316,ethereum,fe,unicode-ident,dtolnay,unicode-ident,CARGO
317,ethereum,fe,toml_edit,toml-rs,toml,CARGO
318,ethereum,fe,http,hyperium,http,CARGO
319,ethereum,fe,rayon-core,rayon-rs,rayon,CARGO
320,ethereum,fe,num-bigint,rust-num,num-bigint,CARGO
321,ethereum,fe,num,rust-num,num,CARGO
322,ethereum,fe,tower,tower-rs,tower,CARGO
323,ethereum,fe,fs_extra,webdesus,fs_extra,CARGO
324,ethereum,fe,camino,camino-rs,camino,CARGO
325,ethereum,fe,libm,rust-lang,libm,CARGO
326,ethereum,fe,glob,rust-lang,glob,CARGO
327,ethereum,fe,futures-util,rust-lang,futures-rs,CARGO
328,ethereum,fe,pkg-config,rust-lang,pkg-config-rs,CARGO
329,ethereum,fe,winnow,winnow-rs,winnow,CARGO
330,ethereum,fe,codespan-reporting,brendanzab,codespan,CARGO
331,ethereum,fe,lsp-types,gluon-lang,lsp-types,CARGO
332,ethereum,fe,strum,peternator7,strum,CARGO
333,ethereum,fe,is_terminal_polyfill,polyfill-rs,is_terminal_polyfill,CARGO
334,ethereum,fe,getrandom,rust-random,getrandom,CARGO
335,ethereum,fe,litemap,unicode-org,icu4x,CARGO
336,ethereum,fe,crossbeam-queue,crossbeam-rs,crossbeam,CARGO
337,ethereum,fe,cranelift-bitset,bytecodealliance,wasmtime,CARGO
338,ethereum,fe,impl-trait-for-tuples,bkchr,impl-trait-for-tuples,CARGO
339,ethereum,fe,core-foundation,servo,core-foundation-rs,CARGO
340,ethereum,fe,zerocopy,google,zerocopy,CARGO
341,ethereum,fe,ryu,dtolnay,ryu,CARGO
342,ethereum,fe,bumpalo,fitzgen,bumpalo,CARGO
343,ethereum,fe,blocking,smol-rs,blocking,CARGO
344,ethereum,fe,evm-core,sorpaas,rust-evm,CARGO
345,ethereum,fe,funty,ferrilab,ferrilab,CARGO
346,ethereum,fe,encoding_rs,hsivonen,encoding_rs,CARGO
347,ethereum,fe,mime,hyperium,mime,CARGO
348,ethereum,fe,hex,kokakiwi,rust-hex,CARGO
349,ethereum,fe,wasm-bindgen-macro-support,rustwasm,wasm-bindgen,CARGO
350,ethereum,fe,wasm-bindgen-test,rustwasm,wasm-bindgen,CARGO
351,ethereum,fe,wasm-bindgen-backend,rustwasm,wasm-bindgen,CARGO
352,ethereum,fe,serde_json,serde-rs,json,CARGO
353,ethereum,fe,tokio,tokio-rs,tokio,CARGO
354,ethereum,fe,revm-interpreter,bluealloy,revm,CARGO
355,ethereum,fe,ipnet,krisprice,ipnet,CARGO
356,ethereum,fe,rust-embed-impl,pyros2097,rust-embed,CARGO
357,ethereum,fe,cc,rust-lang,cc-rs,CARGO
358,ethereum,fe,vec1,rustonaut,vec1,CARGO
359,ethereum,fe,sec1,rustcrypto,formats,CARGO
360,ethereum,fe,hex-literal,rustcrypto,utils,CARGO
361,ethereum,fe,keccak,rustcrypto,sponges,CARGO
362,ethereum,fe,beef,maciejhirsz,beef,CARGO
363,ethereum,fe,act-locally,micahscopes,act-locally,CARGO
364,ethereum,fe,rand_xorshift,rust-random,rngs,CARGO
365,ethereum,fe,zerovec,unicode-org,icu4x,CARGO
366,ethereum,fe,rustc-demangle,alexcrichton,rustc-demangle,CARGO
367,ethereum,fe,if_chain,lambda-fairy,if_chain,CARGO
368,ethereum,fe,smol_str,rust-analyzer,smol_str,CARGO
369,ethereum,fe,pretty_assertions,rust-pretty-assertions,rust-pretty-assertions,CARGO
370,ethereum,fe,os_str_bytes,dylni,os_str_bytes,CARGO
371,ethereum,fe,static_assertions,nvzqz,static-assertions-rs,CARGO
372,ethereum,fe,unicode-bidi,servo,unicode-bidi,CARGO
373,ethereum,fe,fnv,servo,rust-fnv,CARGO
374,ethereum,fe,idna,servo,rust-url,CARGO
375,ethereum,fe,core-foundation-sys,servo,core-foundation-rs,CARGO
376,ethereum,fe,minicov,amanieu,minicov,CARGO
377,ethereum,fe,clap,clap-rs,clap,CARGO
378,ethereum,fe,syn,dtolnay,syn,CARGO
379,ethereum,fe,rstest,la10736,rstest,CARGO
380,ethereum,fe,async-lsp,oxalica,async-lsp,CARGO
381,ethereum,fe,serde_cbor,pyfisch,cbor,CARGO
382,ethereum,fe,async-compat,smol-rs,async-compat,CARGO
383,ethereum,fe,parking,smol-rs,parking,CARGO
384,ethereum,fe,event-listener-strategy,smol-rs,event-listener-strategy,CARGO
385,ethereum,fe,async-net,smol-rs,async-net,CARGO
386,ethereum,fe,native-tls,sfackler,rust-native-tls,CARGO
387,ethereum,fe,tracing-attributes,tokio-rs,tracing,CARGO
388,ethereum,fe,group,zkcrypto,group,CARGO
389,ethereum,fe,socket2,rust-lang,socket2,CARGO
390,ethereum,fe,regex-syntax,rust-lang,regex,CARGO
391,ethereum,fe,futures-macro,rust-lang,futures-rs,CARGO
392,ethereum,fe,half,starkat99,half-rs,CARGO
393,ethereum,fe,elliptic-curve,rustcrypto,traits,CARGO
394,ethereum,fe,signature,rustcrypto,traits,CARGO
395,ethereum,fe,ahash,tkaitchuck,ahash,CARGO
396,ethereum,fe,unicode-segmentation,unicode-rs,unicode-segmentation,CARGO
397,ethereum,fe,unicode-normalization,unicode-rs,unicode-normalization,CARGO
398,ethereum,fe,strum_macros,peternator7,strum,CARGO
399,ethereum,fe,plotters-svg,plotters-rs,plotters,CARGO
400,ethereum,fe,rand_chacha,rust-random,rand,CARGO
401,ethereum,fe,icu_locid,unicode-org,icu4x,CARGO
402,ethereum,fe,icu_provider,unicode-org,icu4x,CARGO
403,ethereum,fe,scoped-tls,alexcrichton,scoped-tls,CARGO
404,ethereum,fe,rustix,bytecodealliance,rustix,CARGO
405,ethereum,fe,cranelift-entity,bytecodealliance,wasmtime,CARGO
406,ethereum,fe,borsh,near,borsh-rs,CARGO
407,ethereum,fe,proc-macro-crate,bkchr,proc-macro-crate,CARGO
408,ethereum,fe,arrayvec,bluss,arrayvec,CARGO
409,ethereum,fe,unescape,saghm,unescape-rs,CARGO
410,ethereum,fe,percent-encoding,servo,rust-url,CARGO
411,ethereum,fe,smallvec,servo,rust-smallvec,CARGO
412,ethereum,fe,indenter,yaahc,indenter,CARGO
413,ethereum,fe,miniz_oxide,frommi,miniz_oxide,CARGO
414,ethereum,fe,thread_local,amanieu,thread_local-rs,CARGO
415,ethereum,fe,autocfg,cuviper,autocfg,CARGO
416,ethereum,fe,anyhow,dtolnay,anyhow,CARGO
417,ethereum,fe,itoa,dtolnay,itoa,CARGO
418,ethereum,fe,dir-test-macros,fe-lang,dir-test,CARGO
419,ethereum,fe,cast,japaric,cast.rs,CARGO
